pressSN,endTime,startTime,machineState,pressState,State
70001004,2023-04-03T10:36:14.4504506-05:00,2023-04-03T10:35:56.0954958-05:00,POST_PRINT,Print,7
70001004,2023-04-03T10:46:43.3966967-05:00,2023-04-03T10:36:14.4504506-05:00,DYNAMIC_READY,Ready,6
70001002,2023-04-03T10:40:16.2322618-04:00,2023-04-03T10:36:43.5256024-04:00,PRINT,Print,8
70001003,2023-04-03T10:37:49.1335782+02:00,2023-04-03T10:37:39.6747122+02:00,GO_TO_OFF,Off,1
70001003,2023-04-03T10:37:50.7673817+02:00,2023-04-03T10:37:49.1335782+02:00,OFF,Off,1
70001003,2023-04-03T10:37:50.7683519+02:00,2023-04-03T10:37:50.7673817+02:00,GO_TO_SERVICE,Service,2
70001003,2023-04-03T10:49:44.5309124+02:00,2023-04-03T10:37:50.7683519+02:00,SERVICE,Service,2
70001002,2023-04-03T10:40:32.9543309-04:00,2023-04-03T10:40:16.2322618-04:00,POST_PRINT,Print,7
70001002,2023-04-03T10:40:44.0361408-04:00,2023-04-03T10:40:32.9543309-04:00,DYNAMIC_READY,Ready,6
70001002,2023-04-03T10:41:27.5437814-04:00,2023-04-03T10:40:44.0361408-04:00,PRE_PRINT,Print,7
70001002,2023-04-03T10:41:48.898998-04:00,2023-04-03T10:41:27.5437814-04:00,PRINT,Print,8
70001002,2023-04-03T10:42:05.4095303-04:00,2023-04-03T10:41:48.898998-04:00,POST_PRINT,Print,7
70001002,2023-04-03T10:52:33.8313354-04:00,2023-04-03T10:42:05.4095303-04:00,DYNAMIC_READY,Ready,6
70001004,2023-04-03T11:23:24.9711051-05:00,2023-04-03T10:46:43.3966967-05:00,READY,Ready,5
70001003,2023-04-03T10:57:14.2453816+02:00,2023-04-03T10:49:44.5309124+02:00,OFF,Off,1
70001002,2023-04-03T10:57:36.3439844-04:00,2023-04-03T10:52:33.8313354-04:00,READY,Ready,5
70001003,2023-04-03T10:57:14.5104059+02:00,2023-04-03T10:57:14.2453816+02:00,GO_TO_SERVICE,Service,2
70001003,2023-04-03T11:01:34.7574454+02:00,2023-04-03T10:57:14.5104059+02:00,SERVICE,Service,2
70001002,2023-04-03T10:59:06.3697075-04:00,2023-04-03T10:57:36.3439844-04:00,PRE_PRINT,Print,7
70001002,2023-04-03T10:59:38.8102014-04:00,2023-04-03T10:59:06.3697075-04:00,PRINT,Print,8
70001002,2023-04-03T11:00:04.995094-04:00,2023-04-03T10:59:38.8102014-04:00,POST_PRINT,Print,7
70001002,2023-04-03T11:10:33.2628066-04:00,2023-04-03T11:00:04.995094-04:00,DYNAMIC_READY,Ready,6
70001003,2023-04-03T11:01:47.3621087+02:00,2023-04-03T11:01:34.7574454+02:00,OFF,Off,1
70001003,2023-04-03T11:02:52.8208374+02:00,2023-04-03T11:01:47.3621087+02:00,MECH_INIT,Off,1
70001003,2023-04-03T11:02:59.9052633+02:00,2023-04-03T11:02:52.8208374+02:00,STANDBY,Standby,3
70001003,2023-04-03T11:03:08.7444426+02:00,2023-04-03T11:02:59.9052633+02:00,GET_READY,GetReady,4
70001003,2023-04-03T11:03:25.6510453+02:00,2023-04-03T11:03:08.7444426+02:00,GO_TO_OFF,Off,1
70001003,2023-04-03T11:03:32.3191837+02:00,2023-04-03T11:03:25.6510453+02:00,OFF,Off,1
70001003,2023-04-03T11:04:08.5892921+02:00,2023-04-03T11:03:32.3191837+02:00,MECH_INIT,Off,1
70001003,2023-04-03T11:04:17.8173423+02:00,2023-04-03T11:04:08.5892921+02:00,GO_TO_OFF,Off,1
70001003,2023-04-03T11:05:03.3671575+02:00,2023-04-03T11:04:17.8173423+02:00,OFF,Off,1
70001003,2023-04-03T11:06:08.6172496+02:00,2023-04-03T11:05:03.3671575+02:00,MECH_INIT,Off,1
70001003,2023-04-03T11:06:18.1164654+02:00,2023-04-03T11:06:08.6172496+02:00,STANDBY,Standby,3
70001003,2023-04-03T11:06:27.3836789+02:00,2023-04-03T11:06:18.1164654+02:00,GET_READY,GetReady,4
70001003,2023-04-03T11:06:44.2736209+02:00,2023-04-03T11:06:27.3836789+02:00,GO_TO_OFF,Off,1
70001003,2023-04-03T11:06:48.7827931+02:00,2023-04-03T11:06:44.2736209+02:00,OFF,Off,1
70001003,2023-04-03T11:06:48.7850538+02:00,2023-04-03T11:06:48.7827931+02:00,GO_TO_SERVICE,Service,2
70001003,2023-04-03T11:10:58.506731+02:00,2023-04-03T11:06:48.7850538+02:00,SERVICE,Service,2
70001002,2023-04-03T11:38:17.0977942-04:00,2023-04-03T11:10:33.2628066-04:00,READY,Ready,5
70001003,2023-04-03T11:25:30.9295596+02:00,2023-04-03T11:10:58.506731+02:00,OFF,Off,1
70001004,2023-04-03T11:30:59.6319659-05:00,2023-04-03T11:23:24.9711051-05:00,PRE_PRINT,Print,7
70001003,2023-04-03T11:25:30.9312664+02:00,2023-04-03T11:25:30.9295596+02:00,GO_TO_SERVICE,Service,2
70001003,2023-04-03T11:26:50.1075272+02:00,2023-04-03T11:25:30.9312664+02:00,SERVICE,Service,2
70001003,2023-04-03T11:26:56.9251113+02:00,2023-04-03T11:26:50.1075272+02:00,OFF,Off,1
70001003,2023-04-03T11:27:53.8963283+02:00,2023-04-03T11:26:56.9251113+02:00,MECH_INIT,Off,1
70001003,2023-04-03T11:28:02.6103404+02:00,2023-04-03T11:27:53.8963283+02:00,STANDBY,Standby,3
70001003,2023-04-03T11:35:26.4766656+02:00,2023-04-03T11:28:02.6103404+02:00,GET_READY,GetReady,4
70001004,2023-04-03T11:37:03.1982308-05:00,2023-04-03T11:30:59.6319659-05:00,PRINT,Print,8
70001003,2023-04-03T11:36:32.7596702+02:00,2023-04-03T11:35:26.4766656+02:00,DYNAMIC_READY,Ready,6
70001003,2023-04-03T11:37:35.8128194+02:00,2023-04-03T11:36:32.7596702+02:00,PRE_PRINT,Print,7
70001004,2023-04-03T11:37:32.5879486-05:00,2023-04-03T11:37:03.1982308-05:00,GO_TO_OFF,Off,1
70001004,2023-04-03T11:37:54.1579639-05:00,2023-04-03T11:37:32.5879486-05:00,OFF,Off,1
70001003,2023-04-03T11:40:25.8322243+02:00,2023-04-03T11:37:35.8128194+02:00,PRINT,Print,8
70001004,2023-04-03T11:37:54.4098424-05:00,2023-04-03T11:37:54.1579639-05:00,GO_TO_SERVICE,Service,2
70001004,2023-04-03T11:51:34.3554617-05:00,2023-04-03T11:37:54.4098424-05:00,SERVICE,Service,2
70001002,2023-04-03T11:42:23.252139-04:00,2023-04-03T11:38:17.0977942-04:00,PRE_PRINT,Print,7
70001003,2023-04-03T11:40:42.3579638+02:00,2023-04-03T11:40:25.8322243+02:00,POST_PRINT,Print,7
70001003,2023-04-03T11:41:01.714411+02:00,2023-04-03T11:40:42.3579638+02:00,DYNAMIC_READY,Ready,6
70001003,2023-04-03T11:41:46.0188523+02:00,2023-04-03T11:41:01.714411+02:00,PRE_PRINT,Print,7
70001003,2023-04-03T11:42:08.9630671+02:00,2023-04-03T11:41:46.0188523+02:00,PRINT,Print,8
70001003,2023-04-03T11:42:26.2783466+02:00,2023-04-03T11:42:08.9630671+02:00,POST_PRINT,Print,7
70001002,2023-04-03T11:56:45.424361-04:00,2023-04-03T11:42:23.252139-04:00,PRINT,Print,8
70001003,2023-04-03T11:45:45.3238403+02:00,2023-04-03T11:42:26.2783466+02:00,DYNAMIC_READY,Ready,6
70001003,2023-04-03T11:46:42.3138417+02:00,2023-04-03T11:45:45.3238403+02:00,PRE_PRINT,Print,7
70001003,2023-04-03T11:47:05.0794698+02:00,2023-04-03T11:46:42.3138417+02:00,PRINT,Print,8
70001003,2023-04-03T11:47:24.2161436+02:00,2023-04-03T11:47:05.0794698+02:00,POST_PRINT,Print,7
70001003,2023-04-03T11:52:23.7278524+02:00,2023-04-03T11:47:24.2161436+02:00,DYNAMIC_READY,Ready,6
70001004,2023-04-03T11:51:43.5818189-05:00,2023-04-03T11:51:34.3554617-05:00,OFF,Off,1
70001004,2023-04-03T11:52:31.9227268-05:00,2023-04-03T11:51:43.5818189-05:00,MECH_INIT,Off,1
70001003,2023-04-03T11:53:20.9140771+02:00,2023-04-03T11:52:23.7278524+02:00,PRE_PRINT,Print,7
70001004,2023-04-03T11:54:14.0445731-05:00,2023-04-03T11:52:31.9227268-05:00,STANDBY,Standby,3
70001003,2023-04-03T11:53:38.8388245+02:00,2023-04-03T11:53:20.9140771+02:00,PRINT,Print,8
70001003,2023-04-03T11:54:10.6662775+02:00,2023-04-03T11:53:38.8388245+02:00,POST_PRINT,Print,7
70001003,2023-04-03T12:02:58.57838+02:00,2023-04-03T11:54:10.6662775+02:00,DYNAMIC_READY,Ready,6
70001004,2023-04-03T11:57:20.7468766-05:00,2023-04-03T11:54:14.0445731-05:00,GET_READY,GetReady,4
70001002,2023-04-03T11:57:20.2728505-04:00,2023-04-03T11:56:45.424361-04:00,POST_PRINT,Print,7
70001002,2023-04-03T12:01:52.6103738-04:00,2023-04-03T11:57:20.2728505-04:00,READY,Ready,5
70001004,2023-04-03T11:57:21.7690619-05:00,2023-04-03T11:57:20.7468766-05:00,GO_TO_STANDBY,Standby,3
70001004,2023-04-03T11:57:48.5586592-05:00,2023-04-03T11:57:21.7690619-05:00,GO_TO_OFF,Off,1
70001004,2023-04-03T11:57:55.5969241-05:00,2023-04-03T11:57:48.5586592-05:00,OFF,Off,1
70001004,2023-04-03T11:58:53.6291716-05:00,2023-04-03T11:57:55.5969241-05:00,MECH_INIT,Off,1
70001004,2023-04-03T11:59:13.1934622-05:00,2023-04-03T11:58:53.6291716-05:00,STANDBY,Standby,3
70001004,2023-04-03T12:02:35.1952401-05:00,2023-04-03T11:59:13.1934622-05:00,GET_READY,GetReady,4
70001002,2023-04-03T12:03:33.108346-04:00,2023-04-03T12:01:52.6103738-04:00,PRE_PRINT,Print,7
